Unweighted_Sample,Weighted_Sample,Question,Nationality,Country of Origin,Gender,Rank (text),Rank (number),Percentage
454,530,They are good looking,American,America,Men,Ranked first,1,0.18
454,530,They are good looking,American,America,Men,Ranked second,2,0.13
454,530,They are good looking,American,America,Men,Ranked third,3,0.16
454,530,They are good looking,American,America,Men,Ranked fourth,4,0.19
454,530,They are good looking,American,America,Men,Ranked fifth,5,0.25
454,530,They are good looking,American,America,Men,Ranked sixth,6,0.09
454,530,They have a personality I like,American,America,Men,Ranked first,1,0.41
454,530,They have a personality I like,American,America,Men,Ranked second,2,0.24
454,530,They have a personality I like,American,America,Men,Ranked third,3,0.15
454,530,They have a personality I like,American,America,Men,Ranked fourth,4,0.08
454,530,They have a personality I like,American,America,Men,Ranked fifth,5,0.08
454,530,They have a personality I like,American,America,Men,Ranked sixth,6,0.05
454,530,They have a sense of humour I like,American,America,Men,Ranked first,1,0.09
454,530,They have a sense of humour I like,American,America,Men,Ranked second,2,0.23
454,530,They have a sense of humour I like,American,America,Men,Ranked third,3,0.25
454,530,They have a sense of humour I like,American,America,Men,Ranked fourth,4,0.26
454,530,They have a sense of humour I like,American,America,Men,Ranked fifth,5,0.13
454,530,They have a sense of humour I like,American,America,Men,Ranked sixth,6,0.05
454,530,They are intelligent,American,America,Men,Ranked first,1,0.13
454,530,They are intelligent,American,America,Men,Ranked second,2,0.18
454,530,They are intelligent,American,America,Men,Ranked third,3,0.22
454,530,They are intelligent,American,America,Men,Ranked fourth,4,0.22
454,530,They are intelligent,American,America,Men,Ranked fifth,5,0.2
454,530,They are intelligent,American,America,Men,Ranked sixth,6,0.04
454,530,They have/make a decent amount of money,American,America,Men,Ranked first,1,0.02
454,530,They have/make a decent amount of money,American,America,Men,Ranked second,2,0.04
454,530,They have/make a decent amount of money,American,America,Men,Ranked third,3,0.06
454,530,They have/make a decent amount of money,American,America,Men,Ranked fourth,4,0.06
454,530,They have/make a decent amount of money,American,America,Men,Ranked fifth,5,0.15
454,530,They have/make a decent amount of money,American,America,Men,Ranked sixth,6,0.68
454,530,They have similar interests to me,American,America,Men,Ranked first,1,0.17
454,530,They have similar interests to me,American,America,Men,Ranked second,2,0.18
454,530,They have similar interests to me,American,America,Men,Ranked third,3,0.16
454,530,They have similar interests to me,American,America,Men,Ranked fourth,4,0.19
454,530,They have similar interests to me,American,America,Men,Ranked fifth,5,0.21
454,530,They have similar interests to me,American,America,Men,Ranked sixth,6,0.09
634,543,They are good looking,American,America,Women,Ranked first,1,0.1
634,543,They are good looking,American,America,Women,Ranked second,2,0.07
634,543,They are good looking,American,America,Women,Ranked third,3,0.06
634,543,They are good looking,American,America,Women,Ranked fourth,4,0.13
634,543,They are good looking,American,America,Women,Ranked fifth,5,0.34
634,543,They are good looking,American,America,Women,Ranked sixth,6,0.29
634,543,They have a personality I like,American,America,Women,Ranked first,1,0.38
634,543,They have a personality I like,American,America,Women,Ranked second,2,0.26
634,543,They have a personality I like,American,America,Women,Ranked third,3,0.2
634,543,They have a personality I like,American,America,Women,Ranked fourth,4,0.09
634,543,They have a personality I like,American,America,Women,Ranked fifth,5,0.04
634,543,They have a personality I like,American,America,Women,Ranked sixth,6,0.03
634,543,They have a sense of humour I like,American,America,Women,Ranked first,1,0.13
634,543,They have a sense of humour I like,American,America,Women,Ranked second,2,0.27
634,543,They have a sense of humour I like,American,America,Women,Ranked third,3,0.24
634,543,They have a sense of humour I like,American,America,Women,Ranked fourth,4,0.18
634,543,They have a sense of humour I like,American,America,Women,Ranked fifth,5,0.11
634,543,They have a sense of humour I like,American,America,Women,Ranked sixth,6,0.07
634,543,They are intelligent,American,America,Women,Ranked first,1,0.15
634,543,They are intelligent,American,America,Women,Ranked second,2,0.19
634,543,They are intelligent,American,America,Women,Ranked third,3,0.25
634,543,They are intelligent,American,America,Women,Ranked fourth,4,0.28
634,543,They are intelligent,American,America,Women,Ranked fifth,5,0.08
634,543,They are intelligent,American,America,Women,Ranked sixth,6,0.04
634,543,They have/make a decent amount of money,American,America,Women,Ranked first,1,0.03
634,543,They have/make a decent amount of money,American,America,Women,Ranked second,2,0.04
634,543,They have/make a decent amount of money,American,America,Women,Ranked third,3,0.06
634,543,They have/make a decent amount of money,American,America,Women,Ranked fourth,4,0.1
634,543,They have/make a decent amount of money,American,America,Women,Ranked fifth,5,0.27
634,543,They have/make a decent amount of money,American,America,Women,Ranked sixth,6,0.49
634,543,They have similar interests to me,American,America,Women,Ranked first,1,0.2
634,543,They have similar interests to me,American,America,Women,Ranked second,2,0.17
634,543,They have similar interests to me,American,America,Women,Ranked third,3,0.18
634,543,They have similar interests to me,American,America,Women,Ranked fourth,4,0.22
634,543,They have similar interests to me,American,America,Women,Ranked fifth,5,0.15
634,543,They have similar interests to me,American,America,Women,Ranked sixth,6,0.08
594,571,They are good looking,Arabian,Middle East,Men,Ranked first,1,0.35
594,571,They are good looking,Arabian,Middle East,Men,Ranked second,2,0.18
594,571,They are good looking,Arabian,Middle East,Men,Ranked third,3,0.16
594,571,They are good looking,Arabian,Middle East,Men,Ranked fourth,4,0.15
594,571,They are good looking,Arabian,Middle East,Men,Ranked fifth,5,0.11
594,571,They are good looking,Arabian,Middle East,Men,Ranked sixth,6,0.05
594,571,They have a personality I like,Arabian,Middle East,Men,Ranked first,1,0.29
594,571,They have a personality I like,Arabian,Middle East,Men,Ranked second,2,0.26
594,571,They have a personality I like,Arabian,Middle East,Men,Ranked third,3,0.15
594,571,They have a personality I like,Arabian,Middle East,Men,Ranked fourth,4,0.12
594,571,They have a personality I like,Arabian,Middle East,Men,Ranked fifth,5,0.13
594,571,They have a personality I like,Arabian,Middle East,Men,Ranked sixth,6,0.05
594,571,They have a sense of humour I like,Arabian,Middle East,Men,Ranked first,1,0.04
594,571,They have a sense of humour I like,Arabian,Middle East,Men,Ranked second,2,0.13
594,571,They have a sense of humour I like,Arabian,Middle East,Men,Ranked third,3,0.24
594,571,They have a sense of humour I like,Arabian,Middle East,Men,Ranked fourth,4,0.27
594,571,They have a sense of humour I like,Arabian,Middle East,Men,Ranked fifth,5,0.22
594,571,They have a sense of humour I like,Arabian,Middle East,Men,Ranked sixth,6,0.09
594,571,They are intelligent,Arabian,Middle East,Men,Ranked first,1,0.15
594,571,They are intelligent,Arabian,Middle East,Men,Ranked second,2,0.21
594,571,They are intelligent,Arabian,Middle East,Men,Ranked third,3,0.27
