Question,Nationality,Gender,Rank,Percentage
They are good looking,American,Men,1,0.18
They are good looking,American,Men,2,0.13
They are good looking,American,Men,3,0.16
They are good looking,American,Men,4,0.19
They are good looking,American,Men,5,0.25
They are good looking,American,Men,6,0.09
They have a personality I like,American,Men,1,0.41
They have a personality I like,American,Men,2,0.24
They have a personality I like,American,Men,3,0.15
They have a personality I like,American,Men,4,0.08
They have a personality I like,American,Men,5,0.08
They have a personality I like,American,Men,6,0.05
They have a sense of humour I like,American,Men,1,0.09
They have a sense of humour I like,American,Men,2,0.23
They have a sense of humour I like,American,Men,3,0.25
They have a sense of humour I like,American,Men,4,0.26
They have a sense of humour I like,American,Men,5,0.13
They have a sense of humour I like,American,Men,6,0.05
They are intelligent,American,Men,1,0.13
They are intelligent,American,Men,2,0.18
They are intelligent,American,Men,3,0.22
They are intelligent,American,Men,4,0.22
They are intelligent,American,Men,5,0.2
They are intelligent,American,Men,6,0.04
They have/make a decent amount of money,American,Men,1,0.02
They have/make a decent amount of money,American,Men,2,0.04
They have/make a decent amount of money,American,Men,3,0.06
They have/make a decent amount of money,American,Men,4,0.06
They have/make a decent amount of money,American,Men,5,0.15
They have/make a decent amount of money,American,Men,6,0.68
They have similar interests to me,American,Men,1,0.17
They have similar interests to me,American,Men,2,0.18
They have similar interests to me,American,Men,3,0.16
They have similar interests to me,American,Men,4,0.19
They have similar interests to me,American,Men,5,0.21
They have similar interests to me,American,Men,6,0.09
They are good looking,American,Women,1,0.1
They are good looking,American,Women,2,0.07
They are good looking,American,Women,3,0.06
They are good looking,American,Women,4,0.13
They are good looking,American,Women,5,0.34
They are good looking,American,Women,6,0.29
They have a personality I like,American,Women,1,0.38
They have a personality I like,American,Women,2,0.26
They have a personality I like,American,Women,3,0.2
They have a personality I like,American,Women,4,0.09
They have a personality I like,American,Women,5,0.04
They have a personality I like,American,Women,6,0.03
They have a sense of humour I like,American,Women,1,0.13
They have a sense of humour I like,American,Women,2,0.27
They have a sense of humour I like,American,Women,3,0.24
They have a sense of humour I like,American,Women,4,0.18
They have a sense of humour I like,American,Women,5,0.11
They have a sense of humour I like,American,Women,6,0.07
They are intelligent,American,Women,1,0.15
They are intelligent,American,Women,2,0.19
They are intelligent,American,Women,3,0.25
They are intelligent,American,Women,4,0.28
They are intelligent,American,Women,5,0.08
They are intelligent,American,Women,6,0.04
They have/make a decent amount of money,American,Women,1,0.03
They have/make a decent amount of money,American,Women,2,0.04
They have/make a decent amount of money,American,Women,3,0.06
They have/make a decent amount of money,American,Women,4,0.1
They have/make a decent amount of money,American,Women,5,0.27
They have/make a decent amount of money,American,Women,6,0.49
They have similar interests to me,American,Women,1,0.2
They have similar interests to me,American,Women,2,0.17
They have similar interests to me,American,Women,3,0.18
They have similar interests to me,American,Women,4,0.22
They have similar interests to me,American,Women,5,0.15
They have similar interests to me,American,Women,6,0.08
They are good looking,Arabian,Men,1,0.35
They are good looking,Arabian,Men,2,0.18
They are good looking,Arabian,Men,3,0.16
They are good looking,Arabian,Men,4,0.15
They are good looking,Arabian,Men,5,0.11
They are good looking,Arabian,Men,6,0.05
They have a personality I like,Arabian,Men,1,0.29
They have a personality I like,Arabian,Men,2,0.26
They have a personality I like,Arabian,Men,3,0.15
They have a personality I like,Arabian,Men,4,0.12
They have a personality I like,Arabian,Men,5,0.13
